"[""  ",State Name,""",""",State,,year,,realIncWage,,gini,,pctTechnicalWorker,,pctFemaleWorker,,unemployementRate,,realIncWageRat90_10,,realIncWageRat_cg_hs,,laborSupply_hl,,fmWageRat,
"[""  ",Alabama,""",""",AL,""" ,  ",1980,",",33793,",",0.324,",",0.033,",",0.36,",",0.069,",",4.717,",",1.656,",",0.313,",",0.608,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1981,",",34164,",",0.308,",",0.032,",",0.379,",",0.081,",",4.283,",",1.428,",",0.337,",",0.598,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1982,",",35379,",",0.32,",",0.04,",",0.372,",",0.118,",",4.505,",",1.44,",",0.277,",",0.571,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1983,",",36599,",",0.326,",",0.032,",",0.385,",",0.131,",",4.432,",",1.549,",",0.358,",",0.563,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1984,",",36943,",",0.329,",",0.017,",",0.377,",",0.104,",",4.701,",",1.533,",",0.364,",",0.617,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1985,",",36784,",",0.327,",",0.04,",",0.396,",",0.093,",",4.719,",",1.498,",",0.354,",",0.61,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1986,",",38629,",",0.327,",",0.042,",",0.392,",",0.104,",",4.5,",",1.862,",",0.471,",",0.553,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1987,",",37048,",",0.355,",",0.04,",",0.408,",",0.083,",",5.386,",",1.846,",",0.382,",",0.57,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1988,",",36684,",",0.328,",",0.035,",",0.398,",",0.068,",",5,",",1.682,",",0.367,",",0.647,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1989,",",34854,",",0.328,",",0.03,",",0.429,",",0.065,",",4.5,",",1.686,",",0.339,",",0.664,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1990,",",34921,",",0.317,",",0.033,",",0.446,",",0.059,",",4.07,",",1.858,",",0.339,",",0.65,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1991,",",34983,",",0.315,",",0.036,",",0.41,",",0.08,",",4.301,",",1.739,",",0.404,",",0.699,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1992,",",35757,",",0.325,",",0.027,",",0.449,",",0.08,",",4.667,",",1.508,",",0.502,",",0.704,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1993,",",36568,",",0.324,",",0.024,",",0.433,",",0.075,",",4.352,",",1.664,",",0.485,",",0.645,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1994,",",36568,",",0.331,",",0.046,",",0.432,",",0.058,",",5.111,",",1.878,",",0.528,",",0.666,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1995,",",40621,",",0.341,",",0.058,",",0.422,",",0.051,",",5,",",1.913,",",0.623,",",0.624,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1996,",",39682,",",0.338,",",0.023,",",0.465,",",0.056,",",4.311,",",1.767,",",0.609,",",0.653,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1997,",",40178,",",0.335,",",0.036,",",0.508,",",0.043,",",4.167,",",1.651,",",0.643,",",0.683,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1998,",",42317,",",0.321,",",0.052,",",0.487,",",0.041,",",4.5,",",1.69,",",0.716,",",0.708,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",1999,",",45088,",",0.339,",",0.035,",",0.44,",",0.045,",",4.308,",",1.774,",",0.712,",",0.691,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2000,",",41805,",",0.33,",",0.039,",",0.461,",",0.037,",",4.583,",",1.781,",",0.578,",",0.717,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2001,",",45060,",",0.346,",",0.044,",",0.454,",",0.05,",",4.692,",",1.927,",",0.626,",",0.663,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2002,",",49033,",",0.37,",",0.064,",",0.458,",",0.067,",",4.857,",",1.771,",",0.728,",",0.665,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2003,",",47951,",",0.351,",",0.054,",",0.448,",",0.057,",",5,",",1.757,",",0.751,",",0.642,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2004,",",48586,",",0.372,",",0.058,",",0.451,",",0.056,",",5,",",1.887,",",0.741,",",0.654,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2005,",",47080,",",0.357,",",0.042,",",0.451,",",0.039,",",4.886,",",1.907,",",0.668,",",0.712,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2006,",",47965,",",0.369,",",0.063,",",0.454,",",0.041,",",4.667,",",1.985,",",0.606,",",0.658,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2007,",",45691,",",0.361,",",0.046,",",0.474,",",0.039,",",5.034,",",1.891,",",0.629,",",0.787,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2008,",",49915,",",0.391,",",0.048,",",0.474,",",0.054,",",5.182,",",2.044,",",0.721,",",0.626,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2009,",",48319,",",0.364,",",0.061,",",0.45,",",0.113,",",4.748,",",2.11,",",0.665,",",0.661,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2010,",",47292,",",0.37,",",0.052,",",0.5,",",0.122,",",5,",",1.957,",",0.687,",",0.75,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2011,",",49399,",",0.36,",",0.056,",",0.47,",",0.113,",",4.722,",",1.976,",",0.841,",",0.772,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2012,",",49584,",",0.363,",",0.068,",",0.455,",",0.082,",",5,",",2.019,",",0.877,",",0.688,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2013,",",46740,",",0.355,",",0.067,",",0.446,",",0.083,",",5,",",1.861,",",0.893,",",0.831,"],"
"[""  ",Alabama,""",""",AL,""" ,  ",2014,",",45945,",",0.346,",",0.042,",",0.463,",",0.091,",",5.152,",",1.68,",",0.82,",",0.75,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1980,",",53932,",",0.31,",",0.061,",",0.393,",",0.096,",",5.195,",",1.163,",",0.627,",",0.552,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1981,",",53804,",",0.315,",",0.053,",",0.39,",",0.116,",",5.436,",",1.358,",",0.674,",",0.595,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1982,",",54656,",",0.324,",",0.067,",",0.419,",",0.117,",",5.4,",",1.201,",",0.667,",",0.592,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1983,",",52560,",",0.324,",",0.035,",",0.418,",",0.123,",",5.23,",",1.303,",",0.615,",",0.603,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1984,",",51760,",",0.318,",",0.041,",",0.404,",",0.111,",",5.128,",",1.415,",",0.669,",",0.68,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1985,",",56222,",",0.321,",",0.04,",",0.405,",",0.091,",",5,",",1.575,",",0.721,",",0.656,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1986,",",57293,",",0.315,",",0.051,",",0.423,",",0.115,",",4.417,",",1.59,",",0.842,",",0.672,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1987,",",57636,",",0.311,",",0.036,",",0.453,",",0.13,",",4.667,",",1.461,",",0.802,",",0.681,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1988,",",55459,",",0.291,",",0.036,",",0.465,",",0.106,",",4.261,",",1.481,",",0.786,",",0.715,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1989,",",52174,",",0.326,",",0.043,",",0.456,",",0.076,",",4.9,",",1.523,",",0.715,",",0.682,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1990,",",53611,",",0.3,",",0.039,",",0.418,",",0.07,",",4.071,",",1.461,",",0.716,",",0.707,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1991,",",50685,",",0.328,",",0.051,",",0.447,",",0.084,",",5.455,",",1.639,",",0.755,",",0.642,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1992,",",51162,",",0.312,",",0.03,",",0.464,",",0.098,",",5,",",1.514,",",0.848,",",0.622,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1993,",",52476,",",0.298,",",0.034,",",0.438,",",0.091,",",4.58,",",1.483,",",0.844,",",0.687,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1994,",",52403,",",0.317,",",0.037,",",0.455,",",0.09,",",5.165,",",1.578,",",0.903,",",0.682,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1995,",",52922,",",0.309,",",0.049,",",0.431,",",0.09,",",4.432,",",1.489,",",0.852,",",0.717,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1996,",",55657,",",0.321,",",0.045,",",0.436,",",0.091,",",4.667,",",1.601,",",0.857,",",0.687,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1997,",",55687,",",0.304,",",0.049,",",0.458,",",0.094,",",4.2,",",1.653,",",0.951,",",0.687,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1998,",",57415,",",0.35,",",0.077,",",0.443,",",0.06,",",5,",",1.362,",",0.908,",",0.628,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",1999,",",55062,",",0.333,",",0.075,",",0.447,",",0.083,",",4.69,",",1.827,",",0.886,",",0.708,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2000,",",54608,",",0.339,",",0.056,",",0.45,",",0.097,",",5,",",1.76,",",0.848,",",0.701,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2001,",",56273,",",0.339,",",0.039,",",0.433,",",0.079,",",4.412,",",1.824,",",0.806,",",0.701,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2002,",",57807,",",0.33,",",0.049,",",0.46,",",0.079,",",4.393,",",1.591,",",0.904,",",0.734,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2003,",",53523,",",0.315,",",0.05,",",0.448,",",0.088,",",4.412,",",1.553,",",0.802,",",0.75,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2004,",",53020,",",0.31,",",0.05,",",0.422,",",0.088,",",4.111,",",1.498,",",0.813,",",0.796,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2005,",",55894,",",0.329,",",0.045,",",0.451,",",0.071,",",4.31,",",1.588,",",0.911,",",0.718,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2006,",",56678,",",0.334,",",0.051,",",0.456,",",0.087,",",4.694,",",1.634,",",0.972,",",0.696,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2007,",",58758,",",0.365,",",0.05,",",0.448,",",0.063,",",4.889,",",1.416,",",0.916,",",0.736,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2008,",",58042,",",0.352,",",0.04,",",0.447,",",0.08,",",5,",",1.41,",",0.834,",",0.687,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2009,",",58329,",",0.336,",",0.042,",",0.468,",",0.081,",",4.3,",",1.663,",",0.879,",",0.74,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2010,",",59350,",",0.357,",",0.059,",",0.477,",",0.098,",",4.75,",",1.742,",",0.965,",",0.733,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2011,",",58804,",",0.348,",",0.043,",",0.446,",",0.085,",",4.762,",",1.696,",",1.059,",",0.653,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2012,",",57234,",",0.325,",",0.063,",",0.441,",",0.082,",",4.579,",",1.561,",",0.979,",",0.716,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2013,",",57885,",",0.327,",",0.05,",",0.467,",",0.063,",",4.545,",",1.504,",",1.105,",",0.709,"],"
"[""  ",Alaska,""",""",AK,""" ,  ",2014,",",60989,",",0.348,",",0.06,",",0.455,",",0.07,",",5.24,",",1.577,",",1.187,",",0.727,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1980,",",38250,",",0.33,",",0.05,",",0.358,",",0.067,",",4.688,",",1.428,",",0.515,",",0.562,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1981,",",38190,",",0.304,",",0.046,",",0.374,",",0.082,",",4.143,",",1.425,",",0.543,",",0.624,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1982,",",38477,",",0.311,",",0.062,",",0.376,",",0.095,",",4.133,",",1.541,",",0.487,",",0.603,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1983,",",39613,",",0.316,",",0.039,",",0.373,",",0.106,",",4.125,",",1.665,",",0.54,",",0.581,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1984,",",38078,",",0.316,",",0.044,",",0.39,",",0.062,",",4.25,",",1.662,",",0.501,",",0.613,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1985,",",40468,",",0.339,",",0.036,",",0.386,",",0.057,",",4.872,",",1.968,",",0.538,",",0.601,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1986,",",40850,",",0.313,",",0.05,",",0.406,",",0.054,",",3.944,",",1.556,",",0.554,",",0.634,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1987,",",43503,",",0.348,",",0.056,",",0.371,",",0.064,",",4.659,",",1.825,",",0.575,",",0.711,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1988,",",40864,",",0.325,",",0.038,",",0.426,",",0.054,",",4.413,",",1.652,",",0.557,",",0.728,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1989,",",39814,",",0.318,",",0.031,",",0.417,",",0.056,",",4.444,",",1.626,",",0.57,",",0.679,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1990,",",37921,",",0.309,",",0.037,",",0.442,",",0.052,",",4.114,",",1.867,",",0.567,",",0.693,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1991,",",38884,",",0.316,",",0.039,",",0.455,",",0.039,",",4.2,",",1.784,",",0.604,",",0.736,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1992,",",40499,",",0.311,",",0.057,",",0.415,",",0.085,",",4.22,",",1.744,",",0.792,",",0.742,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1993,",",39548,",",0.318,",",0.064,",",0.451,",",0.064,",",4.7,",",1.786,",",0.772,",",0.783,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1994,",",40851,",",0.324,",",0.063,",",0.403,",",0.064,",",4.854,",",1.896,",",0.743,",",0.749,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1995,",",42016,",",0.336,",",0.054,",",0.416,",",0.056,",",4.952,",",1.606,",",0.68,",",0.703,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1996,",",39275,",",0.356,",",0.038,",",0.402,",",0.049,",",5,",",1.738,",",0.563,",",0.764,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1997,",",39826,",",0.371,",",0.032,",",0.376,",",0.05,",",4.815,",",1.837,",",0.646,",",0.735,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1998,",",44887,",",0.415,",",0.034,",",0.411,",",0.048,",",5.236,",",2.098,",",0.675,",",0.71,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",1999,",",44093,",",0.375,",",0.037,",",0.409,",",0.045,",",4.667,",",2.015,",",0.588,",",0.825,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2000,",",42947,",",0.36,",",0.042,",",0.443,",",0.042,",",5,",",1.939,",",0.591,",",0.738,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2001,",",46790,",",0.376,",",0.05,",",0.412,",",0.045,",",5.2,",",1.998,",",0.576,",",0.741,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2002,",",50869,",",0.391,",",0.045,",",0.414,",",0.065,",",4.929,",",2.225,",",0.695,",",0.65,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2003,",",52801,",",0.409,",",0.058,",",0.407,",",0.064,",",5.357,",",2.299,",",0.707,",",0.65,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2004,",",53845,",",0.42,",",0.053,",",0.397,",",0.055,",",5.357,",",2.275,",",0.703,",",0.663,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2005,",",51698,",",0.386,",",0.053,",",0.398,",",0.051,",",5,",",1.924,",",0.74,",",0.683,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2006,",",49471,",",0.379,",",0.036,",",0.392,",",0.038,",",4.753,",",2.176,",",0.682,",",0.762,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2007,",",51062,",",0.398,",",0.057,",",0.408,",",0.04,",",5.6,",",2.223,",",0.772,",",0.806,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2008,",",50396,",",0.36,",",0.075,",",0.408,",",0.043,",",4.722,",",2.028,",",0.755,",",0.761,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2009,",",53018,",",0.374,",",0.063,",",0.448,",",0.099,",",4.556,",",2.034,",",0.818,",",0.673,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2010,",",55031,",",0.384,",",0.05,",",0.444,",",0.101,",",5,",",2.074,",",0.871,",",0.752,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2011,",",51576,",",0.363,",",0.063,",",0.433,",",0.098,",",5.222,",",1.994,",",0.927,",",0.762,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2012,",",52037,",",0.39,",",0.061,",",0.437,",",0.085,",",5.655,",",2.101,",",0.944,",",0.73,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2013,",",50289,",",0.371,",",0.06,",",0.416,",",0.084,",",5.412,",",2.112,",",0.839,",",0.739,"],"
"[""  ",Arizona,""",""",AZ,""" ,  ",2014,",",52796,",",0.391,",",0.075,",",0.439,",",0.069,",",5.722,",",1.951,",",0.917,",",0.736,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1980,",",30134,",",0.301,",",0.014,",",0.375,",",0.069,",",3.797,",",1.378,",",0.321,",",0.666,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1981,",",29946,",",0.305,",",0.021,",",0.385,",",0.081,",",4.378,",",1.51,",",0.322,",",0.611,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1982,",",31034,",",0.304,",",0.024,",",0.408,",",0.079,",",3.828,",",1.424,",",0.304,",",0.616,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1983,",",30915,",",0.326,",",0.029,",",0.398,",",0.101,",",4.283,",",1.671,",",0.305,",",0.643,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1984,",",31605,",",0.318,",",0.02,",",0.387,",",0.097,",",4.279,",",1.725,",",0.291,",",0.675,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1985,",",32820,",",0.318,",",0.012,",",0.423,",",0.086,",",4.155,",",1.599,",",0.354,",",0.599,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1986,",",33687,",",0.319,",",0.006,",",0.417,",",0.087,",",4.054,",",1.83,",",0.383,",",0.617,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1987,",",34083,",",0.315,",",0.014,",",0.407,",",0.091,",",4.211,",",1.701,",",0.363,",",0.686,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1988,",",34276,",",0.331,",",0.023,",",0.411,",",0.086,",",4.25,",",1.607,",",0.305,",",0.666,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1989,",",32836,",",0.312,",",0.018,",",0.423,",",0.088,",",4.191,",",1.57,",",0.352,",",0.708,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1990,",",32189,",",0.313,",",0.021,",",0.436,",",0.074,",",4.5,",",1.542,",",0.46,",",0.727,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1991,",",31523,",",0.302,",",0.019,",",0.449,",",0.077,",",3.959,",",1.591,",",0.378,",",0.678,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1992,",",32876,",",0.308,",",0.029,",",0.425,",",0.073,",",4.333,",",1.701,",",0.413,",",0.712,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1993,",",34617,",",0.322,",",0.017,",",0.43,",",0.065,",",4.16,",",1.767,",",0.525,",",0.693,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1994,",",34064,",",0.327,",",0.022,",",0.431,",",0.054,",",4.556,",",1.696,",",0.444,",",0.746,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1995,",",34295,",",0.31,",",0.023,",",0.449,",",0.049,",",4.06,",",1.649,",",0.476,",",0.718,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1996,",",36255,",",0.321,",",0.025,",",0.425,",",0.063,",",4.489,",",1.746,",",0.559,",",0.709,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1997,",",34114,",",0.328,",",0.018,",",0.448,",",0.055,",",4.792,",",1.745,",",0.475,",",0.717,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1998,",",34546,",",0.322,",",0.015,",",0.463,",",0.064,",",4.091,",",1.814,",",0.459,",",0.674,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",1999,",",37191,",",0.317,",",0.034,",",0.49,",",0.043,",",4.193,",",1.616,",",0.542,",",0.689,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2000,",",38197,",",0.326,",",0.049,",",0.45,",",0.056,",",4.167,",",1.569,",",0.48,",",0.742,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2001,",",42666,",",0.387,",",0.022,",",0.491,",",0.049,",",4.5,",",2.134,",",0.585,",",0.599,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2002,",",42625,",",0.374,",",0.019,",",0.461,",",0.08,",",4.583,",",2.121,",",0.594,",",0.807,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2003,",",44420,",",0.401,",",0.033,",",0.443,",",0.054,",",4.56,",",2.554,",",0.556,",",0.802,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2004,",",41120,",",0.349,",",0.043,",",0.458,",",0.055,",",4.615,",",2.055,",",0.587,",",0.68,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2005,",",41190,",",0.355,",",0.04,",",0.483,",",0.049,",",4.615,",",1.86,",",0.578,",",0.657,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2006,",",43139,",",0.34,",",0.024,",",0.444,",",0.057,",",4.4,",",1.988,",",0.597,",",0.701,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2007,",",42791,",",0.363,",",0.011,",",0.47,",",0.055,",",4.643,",",2.096,",",0.582,",",0.721,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2008,",",44687,",",0.364,",",0.028,",",0.453,",",0.045,",",4.533,",",2.064,",",0.609,",",0.69,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2009,",",44261,",",0.348,",",0.035,",",0.419,",",0.075,",",4.667,",",1.739,",",0.571,",",0.82,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2010,",",42542,",",0.343,",",0.033,",",0.446,",",0.084,",",4.667,",",1.873,",",0.608,",",0.809,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2011,",",43125,",",0.356,",",0.04,",",0.456,",",0.093,",",4.667,",",1.679,",",0.629,",",0.773,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2012,",",44473,",",0.333,",",0.048,",",0.429,",",0.072,",",4.875,",",1.616,",",0.824,",",0.739,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2013,",",45662,",",0.374,",",0.049,",",0.439,",",0.074,",",4.875,",",1.881,",",0.795,",",0.735,"],"
"[""  ",Arkansas,""",""",AR,""" ,  ",2014,",",44008,",",0.349,",",0.04,",",0.464,",",0.064,",",4.167,",",1.689,",",0.694,",",0.776,"],"
"[""  ",California,""",""",CA,""" ,  ",1980,",",40302,",",0.313,",",0.058,",",0.378,",",0.066,",",4.452,",",1.556,",",0.549,",",0.623,"],"
"[""  ",California,""",""",CA,""" ,  ",1981,",",40207,",",0.309,",",0.057,",",0.382,",",0.08,",",4.296,",",1.543,",",0.551,",",0.649,"],"
"[""  ",California,""",""",CA,""" ,  ",1982,",",41943,",",0.316,",",0.066,",",0.385,",",0.101,",",4.328,",",1.62,",",0.597,",",0.625,"],"
"[""  ",California,""",""",CA,""" ,  ",1983,",",43670,",",0.326,",",0.056,",",0.395,",",0.119,",",4.558,",",1.619,",",0.636,",",0.63,"],"
"[""  ",California,""",""",CA,""" ,  ",1984,",",43347,",",0.318,",",0.056,",",0.405,",",0.085,",",4.539,",",1.621,",",0.646,",",0.646,"],"
"[""  ",California,""",""",CA,""" ,  ",1985,",",44135,",",0.327,",",0.055,",",0.391,",",0.077,",",4.762,",",1.659,",",0.656,",",0.669,"],"
"[""  ",California,""",""",CA,""" ,  ",1986,",",45776,",",0.333,",",0.051,",",0.386,",",0.072,",",5.059,",",1.693,",",0.629,",",0.677,"],"
"[""  ",California,""",""",CA,""" ,  ",1987,",",46330,",",0.338,",",0.054,",",0.404,",",0.067,",",5,",",1.677,",",0.643,",",0.658,"],"
"[""  ",California,""",""",CA,""" ,  ",1988,",",44606,",",0.33,",",0.055,",",0.405,",",0.054,",",5,",",1.632,",",0.618,",",0.705,"],"
"[""  ",California,""",""",CA,""" ,  ",1989,",",43429,",",0.33,",",0.049,",",0.409,",",0.053,",",4.945,",",1.671,",",0.631,",",0.748,"],"
"[""  ",California,""",""",CA,""" ,  ",1990,",",43653,",",0.343,",",0.046,",",0.4,",",0.056,",",5.331,",",1.766,",",0.566,",",0.754,"],"
"[""  ",California,""",""",CA,""" ,  ",1991,",",43825,",",0.344,",",0.045,",",0.396,",",0.081,",",5.061,",",1.748,",",0.589,",",0.752,"],"
"[""  ",California,""",""",CA,""" ,  ",1992,",",43176,",",0.341,",",0.04,",",0.405,",",0.093,",",5.204,",",1.782,",",0.627,",",0.79,"],"
"[""  ",California,""",""",CA,""" ,  ",1993,",",44427,",",0.338,",",0.044,",",0.415,",",0.106,",",5.45,",",1.818,",",0.653,",",0.782,"],"
"[""  ",California,""",""",CA,""" ,  ",1994,",",44923,",",0.347,",",0.048,",",0.413,",",0.097,",",5.629,",",1.844,",",0.721,",",0.81,"],"
"[""  ",California,""",""",CA,""" ,  ",1995,",",44668,",",0.348,",",0.049,",",0.403,",",0.083,",",5.93,",",1.768,",",0.704,",",0.808,"],"
"[""  ",California,""",""",CA,""" ,  ",1996,",",46425,",",0.384,",",0.053,",",0.413,",",0.083,",",6,",",2.066,",",0.702,",",0.761,"],"
"[""  ",California,""",""",CA,""" ,  ",1997,",",48144,",",0.395,",",0.049,",",0.398,",",0.073,",",6.029,",",2.052,",",0.725,",",0.767,"],"
"[""  ",California,""",""",CA,""" ,  ",1998,",",48678,",",0.391,",",0.044,",",0.414,",",0.068,",",5.909,",",1.921,",",0.712,",",0.756,"],"
"[""  ",California,""",""",CA,""" ,  ",1999,",",50329,",",0.41,",",0.047,",",0.406,",",0.065,",",5.769,",",2.1,",",0.657,",",0.755,"],"
"[""  ",California,""",""",CA,""" ,  ",2000,",",48221,",",0.385,",",0.049,",",0.405,",",0.056,",",5.735,",",2.073,",",0.648,",",0.767,"],"
"[""  ",California,""",""",CA,""" ,  ",2001,",",54216,",",0.408,",",0.059,",",0.412,",",0.053,",",5.769,",",2.257,",",0.76,",",0.742,"],"
"[""  ",California,""",""",CA,""" ,  ",2002,",",56401,",",0.406,",",0.054,",",0.424,",",0.069,",",5.654,",",2.26,",",0.76,",",0.764,"],"
