year,county,countyfip,state,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
2003,Santa Barbara,6083,California,53483,.334,.139,.444,.054,5.358000000000001,1.488,.649,.542
2004,Santa Barbara,6083,California,69276,.454,.143,.371,.088,8,.611,.92,1.359
2005,Santa Barbara,6083,California,36711,.419,.029,.382,.153,6.555,2.599,.307,.6990000000000001
2006,Santa Barbara,6083,California,43338,.444,.042,.361,.043,5.143,1.515,.319,.653
2007,Santa Barbara,6083,California,32340,.346,.014,.392,.08,3.75,1.491,.322,.854
2008,Santa Barbara,6083,California,50262,.44,.057,.302,.083,6.4,1.327,.477,1.109
2009,Santa Barbara,6083,California,48655,.315,.103,.345,.189,6.583,1.033,.708,1.143
2010,Santa Barbara,6083,California,57248,.473,.021,.396,.202,6.8,.865,.395,1.32
2011,Santa Barbara,6083,California,46137,.333,.023,.455,.09,4.786000000000001,1.249,.66,.901
2012,Santa Barbara,6083,California,56585,.415,.06,.44,.115,4.818000000000001,.704,1.048,1.485
2013,Santa Barbara,6083,California,61352,.407,.063,.292,.078,5.412,1.876,1.409,.857
2014,Santa Barbara,6083,California,40334,.358,.034,.483,.086,6.25,1.117,.767,.778
1996,Santa Clara,6085,California,55955,.349,.133,.457,.051,5.998,1.923,.895,.6940000000000001
1997,Santa Clara,6085,California,54482,.34,.166,.347,.031,5.25,2.022,.9470000000000001,.6960000000000001
1998,Santa Clara,6085,California,67945,.379,.113,.406,.034,5.05,1.942,1.042,.6760000000000001
1999,Santa Clara,6085,California,69708,.385,.143,.369,.037,5.706,2.078,1.076,.8230000000000001
2000,Santa Clara,6085,California,66176,.387,.159,.341,.04,6.244,2.397,1.002,.6960000000000001
2001,Santa Clara,6085,California,76286,.397,.185,.391,.038,6.119,2.42,1.348,.709
2002,Santa Clara,6085,California,77717,.421,.197,.43,.053,7.184,2.811,1.306,.673
2003,Santa Clara,6085,California,73755,.361,.21,.405,.119,5.288,2.221,1.493,.72
2004,Santa Clara,6085,California,72041,.367,.146,.444,.08,5.575,2.216,1.702,.642
2005,Santa Clara,6085,California,77764,.421,.143,.473,.06,6.044000000000001,2.229,1.747,.586
2005,Santa Cruz,6087,California,58959,.476,.147,.382,.035,6.417,2.448,1.006,.463
2006,Santa Cruz,6087,California,51281,.309,.132,.395,.068,4.606,2.037,.8100000000000001,.917
2007,Santa Cruz,6087,California,69145,.459,.059,.5,.143,6.667,3.955,.842,.579
2008,Santa Cruz,6087,California,80524,.419,.061,.485,.097,5.761,2.41,3.072,.584
2009,Santa Cruz,6087,California,57450,.341,.03,.212,.086,4.33,2.023,1.45,1.373
2010,Santa Cruz,6087,California,55483,.397,.094,.406,.208,4.5,1.456,1.145,.845
2011,Santa Cruz,6087,California,68380,.333,.069,.379,.131,4,2.113,1.391,.9480000000000001
2012,Santa Cruz,6087,California,59841,.376,0,.429,.188,9.467000000000001,2.746,1.007,1.019
2013,Santa Cruz,6087,California,59814,.343,.032,.323,.033,4.191,2.011,1.207,1.025
2014,Santa Cruz,6087,California,60970,.37,.094,.375,.034,5.75,2.561,1.286,.748
2005,Solano,6095,California,45652,.288,.027,.432,.021,4.808,1.778,.58,.846
2006,Solano,6095,California,49345,.286,.016,.375,.099,4.5,1.868,.618,.889
2007,Solano,6095,California,53834,.405,0,.453,.086,3.966,3.867,.427,1.436
2008,Solano,6095,California,54035,.388,.017,.492,.14,5.829,2.083,.622,.791
2009,Solano,6095,California,56552,.373,.015,.448,.149,4.55,1.719,.76,.899
2010,Solano,6095,California,59282,.434,.063,.476,.132,4.67,2.752,.6770000000000001,.666
2011,Solano,6095,California,57887,.344,.048,.484,.209,6.707,1.934,.885,.6960000000000001
2012,Solano,6095,California,57793,.3,.068,.424,.171,5.584000000000001,1.492,.9490000000000001,.904
2013,Solano,6095,California,58898,.357,0,.467,.133,5.577,1.285,.761,.719
2014,Solano,6095,California,44000,.323,.015,.4,.102,5.373,1.332,.666,.728
1996,Sonoma,6097,California,49653,.243,.056,.472,.037,3.294,.853,1.857,.882
1997,Sonoma,6097,California,43217,.318,.03,.333,.019,4.727,1.36,1.067,.8210000000000001
1998,Sonoma,6097,California,47839,.303,.028,.472,.034,4,1.269,1.044,.673
1999,Sonoma,6097,California,48650,.318,.081,.486,.053,7.5,1.832,.769,.514
2000,Sonoma,6097,California,55807,.316,.121,.394,.094,4.444,1.817,1.063,.479
2001,Sonoma,6097,California,70645,.426,.094,.377,.032,7.62,2.006,.998,.763
2002,Sonoma,6097,California,56518,.399,.042,.394,.083,3.875,3.233,.539,1.259
2003,Sonoma,6097,California,51048,.327,.058,.385,.098,3.247,2.229,.5680000000000001,.658
2004,Sonoma,6097,California,53004,.311,.056,.417,.018,5.357,1.108,.506,.752
2005,Sonoma,6097,California,63062,.344,.122,.327,.036,5.667,2.009,.877,.8130000000000001
2006,Sonoma,6097,California,64941,.345,.111,.417,.034,6.01,2.244,1.296,.8160000000000001
2007,Sonoma,6097,California,95078,.415,.105,.386,.04,4.967000000000001,2.484,1.653,.893
2008,Sonoma,6097,California,63943,.294,0,.456,.045,5,1.361,1.505,.7010000000000001
2009,Sonoma,6097,California,79063,.367,.049,.41,.128,4.4,1.7,1.767,.8250000000000001
2010,Sonoma,6097,California,53785,.412,.056,.394,.123,6,2.199,.986,.7020000000000001
2011,Sonoma,6097,California,53273,.414,.024,.435,.121,6,2.187,.9280000000000001,.638
2012,Sonoma,6097,California,63712,.377,.065,.532,.068,5.75,1.744,2.018,.617
2013,Sonoma,6097,California,63187,.378,.092,.492,.056,5,2.286,1.493,.583
2014,Sonoma,6097,California,81600,.474,.121,.414,.04,6.143,2.935,1.316,.547
1996,Stanislaus,6099,California,40026,.349,.023,.419,.116,5.3,1.812,.407,.6940000000000001
1997,Stanislaus,6099,California,39776,.342,.02,.392,.071,4.727,1.365,.411,.856
1998,Stanislaus,6099,California,44601,.368,0,.396,.095,5.5,1.364,.476,.5760000000000001
1999,Stanislaus,6099,California,37597,.281,0,.442,.095,4.197,1.417,.361,.86
2000,Stanislaus,6099,California,38106,.347,0,.42,.086,5,1.826,.319,.799
2001,Stanislaus,6099,California,46198,.279,0,.364,.082,3.813,1.935,.506,.765
2002,Stanislaus,6099,California,53473,.358,0,.347,.082,5.029,2.145,.6760000000000001,1.224
2003,Stanislaus,6099,California,61430,.363,.074,.444,.143,5,1.868,1.005,.798
2004,Stanislaus,6099,California,61140,.332,.064,.34,.09,5.556,1.999,.756,.663
2005,Stanislaus,6099,California,40741,.252,.041,.384,.052,3.313,1.044,.489,.6850000000000001
2006,Stanislaus,6099,California,47606,.369,.054,.337,.061,4.643,.8280000000000001,.398,.5710000000000001
2007,Stanislaus,6099,California,48407,.323,0,.378,.088,4.054,1.67,.332,.8010000000000001
2008,Stanislaus,6099,California,42550,.28,.013,.38,.097,4.333,1.582,.399,.8100000000000001
2009,Stanislaus,6099,California,45277,.325,.023,.391,.194,4.733000000000001,1.607,.481,.788
2010,Stanislaus,6099,California,44939,.3,.037,.37,.217,4,1.397,.534,.736
2011,Stanislaus,6099,California,51796,.315,.024,.366,.201,4.091,1.569,.486,.78
2012,Stanislaus,6099,California,47530,.307,.015,.456,.196,4.627,1.501,.388,.865
2013,Stanislaus,6099,California,50808,.271,.027,.307,.16,3.535,1.63,.615,1.057
2014,Stanislaus,6099,California,46448,.286,.015,.308,.135,4.167,1.651,.613,1.233
1996,Tulare,6107,California,29897,.35,0,.412,.281,3.6,5.845,.18,.847
1997,Tulare,6107,California,26099,.352,.023,.395,.221,6.464,1.602,.197,.793
1998,Tulare,6107,California,29939,.259,.056,.361,.176,3.391,1.278,.173,.883
1999,Tulare,6107,California,34870,.363,.021,.292,.186,5.368,2.583,.266,.733
2000,Tulare,6107,California,29975,.299,0,.38,.134,4.023,2.331,.221,.9580000000000001
2001,Tulare,6107,California,34207,.372,0,.467,.244,6.875,2.519,.205,.868
2002,Tulare,6107,California,34461,.384,.032,.323,.32,5.889,1.544,.274,.731
2003,Tulare,6107,California,45540,.385,.035,.368,.136,3.571,3.328,.376,.627
2004,Tulare,6107,California,39887,.311,0,.429,.123,4.615,2.07,.462,.5740000000000001
2005,Tulare,6107,California,49412,.355,.034,.379,.123,6.731,1.812,.706,.607
2006,Tulare,6107,California,43013,.371,.016,.492,.069,5.853,1.843,.5750000000000001,.904
2007,Tulare,6107,California,50313,.39,0,.472,.077,7.083,2.36,.768,.845
2008,Tulare,6107,California,45543,.33,.018,.357,.105,4.412,2.401,1.092,1.01
2009,Tulare,6107,California,50358,.33,.02,.412,.095,4.706,2.432,.903,.903
2010,Tulare,6107,California,48779,.346,.053,.368,.138,6.731,2.089,.905,.726
2011,Tulare,6107,California,42402,.358,.018,.393,.186,5.187,1.832,.581,.754
2012,Tulare,6107,California,49849,.381,.019,.453,.054,4,2.186,.589,.577
2013,Tulare,6107,California,39325,.32,.075,.472,.082,4.467000000000001,2.02,.509,.781
2014,Tulare,6107,California,54268,.332,.019,.315,.106,6.175,1.941,.8020000000000001,.859
1996,Ventura,6111,California,56524,.447,.045,.333,.091,5.25,2.956,.9390000000000001,.5680000000000001
1997,Ventura,6111,California,67957,.42,.085,.458,.04,5.923,2.49,1.035,.491
1998,Ventura,6111,California,62387,.429,.042,.38,.054,6.560000000000001,1.726,.718,.47
1999,Ventura,6111,California,53823,.327,.029,.441,.073,5.769,1.772,.631,.731
2000,Ventura,6111,California,49799,.33,.071,.44,.048,5,1.617,.731,.78
2001,Ventura,6111,California,67508,.459,.051,.405,.053,6.557,2.328,.8170000000000001,.471
2002,Ventura,6111,California,67610,.488,.032,.372,.067,8.120000000000001,3.127,.635,.464
2003,Ventura,6111,California,69941,.454,.068,.455,.061,8.242000000000001,3.277,.708,.46
2004,Ventura,6111,California,55047,.42,.108,.422,.082,6.154,2.227,.5670000000000001,.74
2005,Ventura,6111,California,67996,.412,.058,.342,.051,5.066,1.409,.908,.656
2006,Ventura,6111,California,62671,.417,.036,.364,.058,6.679,2.714,.797,.764
2007,Ventura,6111,California,53535,.355,.012,.5,.022,5,1.798,.725,.707
2008,Ventura,6111,California,53293,.364,.084,.373,.041,5.5,2.098,.774,.89
2009,Ventura,6111,California,57705,.391,.075,.362,.076,6.667,2.525,.865,.738
2010,Ventura,6111,California,58068,.396,.079,.414,.096,6.364,2.328,.78,.635
2011,Ventura,6111,California,57705,.365,.068,.379,.085,4.8,2.214,.8030000000000001,.7000000000000001
2012,Ventura,6111,California,64462,.382,.076,.417,.08,6.5,2.149,.9580000000000001,.754
2013,Ventura,6111,California,61319,.352,.072,.434,.043,5.5,2.223,.987,.842
2014,Ventura,6111,California,62258,.401,.099,.441,.047,8.125,2.233,1.148,.8280000000000001
1996,Yolo,6113,California,32777,.277,.067,.533,.08,3.333,1.283,.763,.739
1997,Yolo,6113,California,29189,.304,0,.444,0,5.919000000000001,1.038,.399,.538
1998,Yolo,6113,California,47317,.216,0,.167,.063,4.333,,1.054,.306
1999,Yolo,6113,California,61401,.32,0,.3,.056,5.281,,1.222,.5530000000000001
2000,Yolo,6113,California,56101,.32,.043,.478,.107,4.643,2.455,.7010000000000001,.5
2001,Yolo,6113,California,60661,.252,.148,.407,.026,3.802,1.482,1.25,.603
2002,Yolo,6113,California,70088,.203,.077,.308,0,2.519,,4.2,.75
2003,Yolo,6113,California,53248,.248,.048,.429,.094,3.1,3.131,1.839,.6970000000000001
2004,Yolo,6113,California,64854,.442,0,.32,.095,4.167,2.579,1.026,.5620000000000001
2005,Yolo,6113,California,50170,.266,.037,.444,.06,3.824,1.687,.892,1.364
2006,Yolo,6113,California,46896,.316,.061,.455,.04,5,1.705,.8250000000000001,.893
2007,Yolo,6113,California,52230,.335,.125,.542,.088,3.636,2.01,1,.5710000000000001
2008,Yolo,6113,California,66220,.457,.167,.3,.042,5.342000000000001,3.442,.775,.6840000000000001
2009,Yolo,6113,California,67209,.349,.036,.5,.212,7.5,5.958,1.44,.868
2010,Yolo,6113,California,56082,.315,0,.538,.146,5.219,1.697,1.146,1.002
2011,Yolo,6113,California,57198,.371,.034,.379,.164,6,1.698,.773,.746
2012,Yolo,6113,California,45896,.294,.029,.324,.068,4.211,1.516,.744,.838
2013,Yolo,6113,California,64024,.459,.043,.391,.167,9.533,3.084,.537,1.176
2014,Yolo,6113,California,65399,.354,.108,.405,.038,6.818000000000001,1.922,1.657,1.189
