year,state,statefip,stateAbbrev,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
2013,Vermont,50,VT,51488,.338,.058,.464,.042,4.168,1.763,1.123,.8020000000000001
2014,Vermont,50,VT,53965,.345,.071,.479,.039,4.358,1.916,1.15,.8200000000000001
1980,Virginia,51,VA,37964,.314,.063,.377,.051,4.355,1.637,.495,.597
1981,Virginia,51,VA,38009,.323,.064,.407,.058,4.615,1.522,.512,.613
1982,Virginia,51,VA,40184,.323,.064,.412,.079,4.706,1.607,.581,.61
1983,Virginia,51,VA,41680,.325,.048,.417,.074,4.268,1.72,.59,.641
1984,Virginia,51,VA,40581,.32,.04,.408,.049,4.613,1.55,.543,.662
1985,Virginia,51,VA,42392,.318,.049,.408,.059,4.884,1.617,.5680000000000001,.615
1986,Virginia,51,VA,43085,.352,.073,.412,.043,5.682,1.971,.577,.585
1987,Virginia,51,VA,46099,.336,.073,.408,.058,5.039,1.859,.657,.615
1988,Virginia,51,VA,43911,.338,.059,.442,.034,5,1.878,.642,.628
1989,Virginia,51,VA,44169,.317,.054,.447,.043,4.5,1.733,.725,.646
1990,Virginia,51,VA,45556,.332,.063,.454,.036,5,1.693,.749,.63
1991,Virginia,51,VA,44473,.335,.065,.439,.062,4.727,1.798,.63,.673
1992,Virginia,51,VA,43286,.338,.056,.449,.07,5.164,1.813,.5720000000000001,.6870000000000001
1993,Virginia,51,VA,43833,.318,.06,.463,.05,4.25,1.742,.674,.72
1994,Virginia,51,VA,43554,.337,.058,.448,.047,4.850000000000001,1.899,.727,.732
1995,Virginia,51,VA,47098,.334,.081,.45,.047,5,1.967,.9330000000000001,.715
1996,Virginia,51,VA,47211,.393,.067,.463,.041,5.514,1.967,.8170000000000001,.621
1997,Virginia,51,VA,50739,.393,.095,.433,.044,5.417,1.819,.882,.6870000000000001
1998,Virginia,51,VA,56792,.401,.089,.411,.035,5.556,1.916,.9470000000000001,.5550000000000001
1999,Virginia,51,VA,55557,.391,.067,.416,.03,5.214,2.061,.903,.632
2000,Virginia,51,VA,54721,.366,.081,.447,.03,5,1.888,.923,.671
2001,Virginia,51,VA,57567,.394,.082,.486,.031,5.135,2.089,.889,.604
2002,Virginia,51,VA,58726,.387,.077,.464,.042,5.359,2.146,1.01,.708
2003,Virginia,51,VA,57205,.377,.088,.475,.05,5.933,2.029,.967,.708
2004,Virginia,51,VA,57732,.374,.104,.433,.047,5.769,1.992,.919,.6810000000000001
2005,Virginia,51,VA,59171,.398,.08,.438,.037,5.625,2.291,.891,.6810000000000001
2006,Virginia,51,VA,60709,.405,.085,.452,.03,5.882000000000001,2.299,.9400000000000001,.714
2007,Virginia,51,VA,60909,.408,.09,.471,.036,5.814,2.051,.961,.743
2008,Virginia,51,VA,57986,.385,.089,.468,.042,5.556,1.974,1.012,.6980000000000001
2009,Virginia,51,VA,64066,.39,.09,.456,.069,5.5,2.06,1.224,.6900000000000001
2010,Virginia,51,VA,65860,.411,.099,.481,.087,6.053,2.284,1.235,.714
2011,Virginia,51,VA,62464,.386,.102,.479,.066,5.75,2.218,1.223,.734
2012,Virginia,51,VA,62502,.389,.098,.463,.068,6,2.162,1.211,.723
2013,Virginia,51,VA,64708,.404,.097,.447,.048,6,2.307,1.365,.766
2014,Virginia,51,VA,62195,.387,.109,.458,.061,6,2.151,1.304,.756
1980,Washington,53,WA,41742,.292,.064,.366,.061,4.148,1.422,.661,.59
1981,Washington,53,WA,42298,.294,.054,.362,.1,4.254,1.371,.635,.6
1982,Washington,53,WA,44004,.295,.059,.357,.134,4.051,1.45,.621,.604
1983,Washington,53,WA,44965,.306,.055,.35,.124,4.257,1.551,.739,.634
1984,Washington,53,WA,44106,.311,.05,.391,.091,4.265,1.559,.753,.611
1985,Washington,53,WA,45616,.3,.047,.385,.081,4.444,1.462,.714,.646
1986,Washington,53,WA,45568,.307,.044,.396,.1,4.175,1.71,.6830000000000001,.665
1987,Washington,53,WA,45255,.315,.074,.389,.097,4.46,1.553,.845,.653
1988,Washington,53,WA,44677,.3,.058,.4,.076,4.421,1.496,.761,.6990000000000001
1989,Washington,53,WA,45705,.292,.076,.38,.071,4.091,1.427,.715,.733
1990,Washington,53,WA,41739,.3,.087,.409,.054,4.4,1.388,.66,.716
1991,Washington,53,WA,42733,.289,.059,.43,.075,3.75,1.448,.74,.6910000000000001
1992,Washington,53,WA,44204,.303,.072,.447,.097,4.455,1.45,.882,.674
1993,Washington,53,WA,46179,.299,.055,.429,.094,3.846,1.423,.893,.733
1994,Washington,53,WA,47452,.313,.066,.418,.077,4.231,1.669,.9300000000000001,.749
1995,Washington,53,WA,44773,.315,.051,.4,.07,4.667,1.633,.913,.6850000000000001
1996,Washington,53,WA,46880,.361,.037,.425,.079,4.75,1.886,.916,.675
1997,Washington,53,WA,49363,.352,.056,.398,.054,4.978,1.779,.863,.796
1998,Washington,53,WA,49755,.325,.054,.419,.049,4.286000000000001,1.674,.87,.743
1999,Washington,53,WA,52919,.342,.063,.403,.047,4.786000000000001,1.523,.9340000000000001,.8100000000000001
2000,Washington,53,WA,52340,.331,.071,.412,.051,5.286000000000001,1.866,.9350000000000001,.6890000000000001
2001,Washington,53,WA,55590,.378,.078,.397,.065,5.196,2.048,.868,.675
2002,Washington,53,WA,58938,.386,.063,.407,.071,5.096,2.042,.9340000000000001,.6770000000000001
2003,Washington,53,WA,57673,.363,.076,.416,.081,5,1.942,.901,.726
2004,Washington,53,WA,56774,.371,.07,.42,.071,5.395000000000001,1.919,.922,.6920000000000001
2005,Washington,53,WA,57034,.364,.073,.411,.057,5.313,1.915,1.058,.6760000000000001
2006,Washington,53,WA,61030,.379,.078,.425,.045,5.015,1.762,1.02,.655
2007,Washington,53,WA,59455,.374,.091,.437,.049,5.105,2.04,.978,.665
2008,Washington,53,WA,59591,.372,.09,.42,.057,5.389,2.099,.998,.654
2009,Washington,53,WA,61823,.373,.103,.431,.097,5,2.026,1.154,.707
2010,Washington,53,WA,61373,.364,.092,.439,.102,5,1.815,1.218,.736
2011,Washington,53,WA,59510,.356,.093,.432,.11,5.15,2.161,1.078,.762
2012,Washington,53,WA,55932,.348,.091,.417,.096,4.9,1.858,1.196,.769
2013,Washington,53,WA,61700,.373,.095,.422,.069,5.850000000000001,2.032,1.289,.722
2014,Washington,53,WA,62965,.379,.098,.438,.073,6,1.905,1.262,.758
1980,West Virginia,54,WV,35658,.302,.008,.305,.103,3.846,1.37,.232,.5620000000000001
1981,West Virginia,54,WV,35157,.302,.019,.336,.11,4.238,1.459,.278,.5640000000000001
1982,West Virginia,54,WV,35538,.272,.023,.348,.12,3.755,1.246,.359,.644
1983,West Virginia,54,WV,38664,.294,.012,.361,.185,4.267,1.348,.353,.616
1984,West Virginia,54,WV,38347,.312,.03,.38,.157,4.048,1.438,.43,.626
1985,West Virginia,54,WV,40027,.314,.02,.337,.148,4.375,1.417,.358,.606
1986,West Virginia,54,WV,36803,.325,.023,.356,.125,4.375,1.395,.337,.59
1987,West Virginia,54,WV,39162,.327,.027,.342,.112,4.5,1.456,.417,.641
1988,West Virginia,54,WV,38736,.299,.017,.368,.092,4.335,1.397,.366,.631
1989,West Virginia,54,WV,36616,.301,.015,.353,.088,4.222,1.485,.353,.619
1990,West Virginia,54,WV,36041,.317,.024,.376,.074,4.333,1.417,.368,.639
1991,West Virginia,54,WV,36629,.305,.017,.402,.108,4.211,1.194,.354,.638
1992,West Virginia,54,WV,36246,.305,.013,.381,.121,4.526,1.38,.41,.652
1993,West Virginia,54,WV,34586,.32,.02,.41,.112,4.368,1.411,.418,.667
1994,West Virginia,54,WV,36999,.309,.017,.439,.099,4.5,1.5,.443,.6780000000000001
1995,West Virginia,54,WV,38233,.317,.007,.395,.067,4.745,1.31,.492,.6830000000000001
1996,West Virginia,54,WV,40250,.326,.017,.439,.101,4.762000000000001,1.485,.521,.631
1997,West Virginia,54,WV,42662,.35,.035,.413,.068,4.727,1.643,.5600000000000001,.635
1998,West Virginia,54,WV,42070,.356,.032,.448,.085,4.545,1.692,.585,.751
1999,West Virginia,54,WV,41343,.336,.042,.423,.083,4.727,1.673,.599,.748
2000,West Virginia,54,WV,41175,.344,.019,.438,.058,5.182,1.77,.532,.641
2001,West Virginia,54,WV,42718,.349,.026,.442,.05,4.667,1.593,.5610000000000001,.626
2002,West Virginia,54,WV,44433,.342,.036,.431,.063,4.615,1.64,.539,.634
2003,West Virginia,54,WV,43795,.332,.036,.444,.073,4.286000000000001,1.684,.5660000000000001,.6900000000000001
2004,West Virginia,54,WV,45221,.349,.022,.446,.065,4.505,1.548,.5690000000000001,.751
2005,West Virginia,54,WV,44224,.331,.024,.475,.063,4.643,1.767,.5610000000000001,.748
2006,West Virginia,54,WV,43044,.33,.041,.451,.049,4.715,1.758,.54,.715
2007,West Virginia,54,WV,47330,.376,.041,.429,.053,4.966,1.732,.5540000000000001,.6840000000000001
2008,West Virginia,54,WV,46878,.354,.031,.414,.057,4.688,1.48,.528,.762
2009,West Virginia,54,WV,48773,.355,.043,.425,.092,4.938,1.572,.718,.713
2010,West Virginia,54,WV,48040,.31,.038,.421,.095,5,1.485,.78,.705
2011,West Virginia,54,WV,52071,.358,.054,.454,.08,4.474,1.562,.715,.6850000000000001
2012,West Virginia,54,WV,48563,.361,.032,.447,.072,5.438,1.654,.7000000000000001,.6760000000000001
2013,West Virginia,54,WV,47599,.339,.034,.457,.077,4.722,1.677,.8290000000000001,.704
2014,West Virginia,54,WV,52867,.394,.041,.434,.083,4.737,1.97,.8210000000000001,.728
1980,Wisconsin,55,WI,38500,.301,.033,.362,.07,4.169000000000001,1.475,.405,.538
1981,Wisconsin,55,WI,38529,.277,.039,.366,.097,3.637,1.48,.397,.587
1982,Wisconsin,55,WI,40590,.3,.036,.36,.113,3.75,1.501,.409,.528
1983,Wisconsin,55,WI,42500,.31,.041,.363,.123,4,1.564,.481,.584
1984,Wisconsin,55,WI,41049,.29,.041,.381,.082,3.778,1.522,.423,.638
1985,Wisconsin,55,WI,40192,.309,.03,.385,.085,4.375,1.465,.443,.622
1986,Wisconsin,55,WI,43354,.315,.036,.361,.075,4.111,1.691,.529,.629
1987,Wisconsin,55,WI,43106,.339,.033,.363,.078,4.429,1.846,.491,.542
1988,Wisconsin,55,WI,39997,.296,.036,.379,.058,4.406,1.592,.477,.658
1989,Wisconsin,55,WI,40017,.302,.026,.395,.06,4.25,1.544,.49,.665
1990,Wisconsin,55,WI,40860,.301,.035,.389,.049,4.019,1.641,.508,.654
1991,Wisconsin,55,WI,40145,.284,.036,.43,.069,4,1.721,.533,.657
1992,Wisconsin,55,WI,40309,.271,.039,.427,.058,3.583,1.55,.602,.722
1993,Wisconsin,55,WI,42558,.296,.051,.422,.048,4.051,1.752,.594,.6880000000000001
1994,Wisconsin,55,WI,41064,.294,.049,.429,.058,4.091,1.677,.658,.6990000000000001
1995,Wisconsin,55,WI,42772,.322,.04,.438,.055,4.428,1.74,.6890000000000001,.647
1996,Wisconsin,55,WI,44461,.328,.042,.438,.044,4.127,1.763,.72,.644
1997,Wisconsin,55,WI,44199,.307,.047,.455,.042,4.154,1.603,.6970000000000001,.672
1998,Wisconsin,55,WI,47413,.339,.03,.421,.036,4.293,1.76,.744,.744
1999,Wisconsin,55,WI,47743,.341,.042,.405,.038,4.229,1.923,.6930000000000001,.643
2000,Wisconsin,55,WI,49153,.325,.039,.417,.045,4.333,1.845,.657,.657
2001,Wisconsin,55,WI,52478,.362,.044,.413,.051,4.533,2.066,.714,.6870000000000001
2002,Wisconsin,55,WI,51921,.343,.047,.43,.065,4.487,1.795,.6950000000000001,.654
2003,Wisconsin,55,WI,50824,.34,.049,.437,.067,4.342000000000001,1.836,.725,.6960000000000001
2004,Wisconsin,55,WI,52003,.354,.043,.453,.062,4.402,1.824,.731,.7000000000000001
2005,Wisconsin,55,WI,52165,.35,.054,.439,.049,4.327,1.945,.778,.664
2006,Wisconsin,55,WI,52593,.351,.059,.442,.053,4.425,1.909,.77,.675
2007,Wisconsin,55,WI,55049,.361,.055,.44,.052,4.444,1.977,.793,.709
2008,Wisconsin,55,WI,51865,.352,.061,.46,.048,4.444,1.97,.907,.774
2009,Wisconsin,55,WI,52273,.339,.053,.452,.087,4,1.896,.888,.6960000000000001
2010,Wisconsin,55,WI,52044,.337,.048,.471,.108,4.2,1.814,.982,.745
2011,Wisconsin,55,WI,51918,.337,.052,.453,.084,4.21,1.832,1.061,.769
2012,Wisconsin,55,WI,52206,.334,.061,.435,.084,4.25,1.815,1.006,.76
2013,Wisconsin,55,WI,54663,.366,.061,.452,.079,4.5,2.066,1.082,.6820000000000001
2014,Wisconsin,55,WI,54546,.348,.07,.432,.069,4.318000000000001,1.858,1.079,.739
1980,Wyoming,56,WY,38965,.3,.034,.335,.043,4.36,1.288,.458,.541
1981,Wyoming,56,WY,40718,.295,.047,.305,.051,4.286000000000001,1.311,.493,.599
1982,Wyoming,56,WY,41771,.29,.034,.357,.069,4.295,1.297,.5550000000000001,.526
1983,Wyoming,56,WY,41215,.294,.056,.351,.088,4.453,1.357,.596,.581
1984,Wyoming,56,WY,43589,.302,.03,.34,.094,4.187,1.482,.6860000000000001,.5630000000000001
1985,Wyoming,56,WY,43448,.31,.023,.345,.089,4.222,1.4,.5620000000000001,.591
1986,Wyoming,56,WY,43140,.304,.024,.361,.107,4.632,1.297,.613,.588
1987,Wyoming,56,WY,43560,.302,.045,.327,.107,4.444,1.449,.598,.603
1988,Wyoming,56,WY,44354,.304,.022,.331,.07,4.784,1.37,.637,.617
1989,Wyoming,56,WY,41144,.302,.033,.367,.072,4.507,1.414,.5670000000000001,.594
1990,Wyoming,56,WY,39471,.309,.033,.371,.082,4.921,1.31,.547,.633
1991,Wyoming,56,WY,38725,.286,.026,.393,.056,4.1,1.322,.507,.6890000000000001
1992,Wyoming,56,WY,39568,.312,.028,.41,.058,4.965,1.309,.6790000000000001,.5610000000000001
1993,Wyoming,56,WY,40479,.325,.022,.434,.069,5,1.399,.633,.5740000000000001
1994,Wyoming,56,WY,41092,.322,.035,.383,.063,4.743,1.368,.5660000000000001,.5560000000000001
1995,Wyoming,56,WY,39879,.332,.03,.374,.056,5,1.353,.665,.634
1996,Wyoming,56,WY,41231,.335,.032,.389,.065,4.167,1.472,.842,.6860000000000001
1997,Wyoming,56,WY,40186,.318,.035,.424,.078,4.256,1.28,.763,.634
1998,Wyoming,56,WY,43114,.343,.037,.409,.054,5.043,1.273,.67,.626
1999,Wyoming,56,WY,43999,.354,.024,.399,.055,4.404,1.728,.705,.583
2000,Wyoming,56,WY,42203,.32,.024,.403,.045,4.59,1.538,.732,.608
2001,Wyoming,56,WY,45202,.322,.03,.404,.056,4.615,1.355,.656,.626
2002,Wyoming,56,WY,43282,.307,.028,.436,.053,4.615,1.283,.658,.663
2003,Wyoming,56,WY,45913,.329,.03,.432,.048,4.375,1.615,.719,.634
2004,Wyoming,56,WY,46875,.339,.024,.428,.04,4.337,1.524,.72,.593
2005,Wyoming,56,WY,46780,.323,.036,.403,.036,4.667,1.468,.6900000000000001,.5740000000000001
2006,Wyoming,56,WY,48988,.337,.034,.383,.036,4.71,1.346,.71,.597
2007,Wyoming,56,WY,49655,.337,.024,.394,.033,5,1.171,.655,.608
2008,Wyoming,56,WY,49542,.352,.035,.432,.036,4.906,1.334,.7030000000000001,.639
2009,Wyoming,56,WY,53124,.323,.028,.406,.059,4.556,1.285,.6850000000000001,.665
2010,Wyoming,56,WY,54245,.347,.031,.429,.08,4.421,1.317,.8160000000000001,.646
2011,Wyoming,56,WY,50220,.327,.031,.409,.063,4.556,1.399,.735,.664
2012,Wyoming,56,WY,52130,.336,.031,.401,.065,4.579,1.401,.6830000000000001,.62
2013,Wyoming,56,WY,54081,.333,.036,.384,.046,4.600000000000001,1.414,.737,.6980000000000001
2014,Wyoming,56,WY,54138,.326,.03,.401,.042,4.793,1.302,.766,.655
